id,lmu_no,species,sex,L_count,R_count,L_tibia,R_tibia,L_area,R_area,observer
C83,20963,Cyrbia,M,14128,,5.485,5.737,8.443,,shane
C127,,Cyrbia,M,13337,12740,5.516,5.309,7.306,7.178,shane
C157,20960,Cyrbia,M,15363,15367,,5.493,8.912,9.06,shane
C215,20964,Cyrbia,F,13323,,5.398,5.398,7.172,,shane
C358,20959,Cyrbia,F,12609,12215,5.044,5.187,6.412,6.23,shane
C361,20962,Cyrbia,M,,13331,5.452,5.363,,8.486,anupama
C363,20958,Cyrbia,F,12689,12798, ,5.281,6.847,6.71,shane
C395,20961,Cyrbia,M,15040,14792,5.596,5.649,7.996,7.432,anupama
C447,,Cyrbia,F,13419,,,5.111,6.452,,shane
C323,20954,Cyrbia,F,,13859,6.644,6.851,,7.37,shane
C45,20957,Cyrbia,F,13037,12921,7.501,7.274,6.739,6.693,shane
C471,20952,Cyrbia,F,13782,14134,7.071,,7.077,7.32,shane
C587,20966,Cyrbia,M,13126,13243,6.914,7.201,7.92,8.009,shane
C902,20973,Cyrbia,M,14299,14867,6.879,6.955,8.126,8.159,shane
